Vendedor ID;Key_Calendario;Pais;Ciudad;Cliente ID;Key_Presupuesto;Transaccion ID;Producto ID;Num Serie;Lista Precio;Ventas;Margen Bruto;Utilidad;Cliente;CP;Latitude;Longitude;Mercado;Miembro;Capital;Area(km2);Poblacion(mio);Crecimiento Pob.;Moneda;Inflacion;Nombre Oficial del Pais;Fecha;Año;Semestre;Trimestre;Mes;Periodo;Mes número;Semana;Día;Día de la semana;Vendedor;Distribuidor ID
2002;40068;Slovenia;Ljubljana;1029;2009|9;1301;4000;14065;4599;3340;1637;0,49011976047904;"Captain Cook's Surfing School";;;;Europe & Africa;OECD;Ljubljana;20 251;2.05;-0.11%;Euro;Not known;Republic of Slovenia;12/09/2009;2009;2;3;sep.;sep. 2009;9;37;12;sáb.;Bill Yang;A4
2002;40481;Bulgaria;Sofia;1110;2010|10;1384;5000;15019;5999;5090;2087;0,41001964636542;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;30/10/2010;2010;2;4;oct.;oct. 2010;10;44;30;sáb.;Bill Yang;A4
2002;40696;Ireland;Dublin;1137;2011|6;1439;4000;16059;5999;4500;2135;0,47444444444444;Shamrack Café;;;;Europe & Africa;OECD;Dublin;70 283;4.47;1.12%;Euro;-0.38%;;02/06/2011;2011;1;2;jun.;jun. 2011;6;23;2;jue.;Bill Yang;A4
2002;39851;Macedonia;Skopje;1107;2009|2;1253;4000;14003;4599;3540;1735;0,49011299435028;"Moe's Laundromat";;;;Europe & Africa;Europe;Skopje;25 713;2.04;Not known;Denar;Not known;Former Yugoslav Republic of Macedonia;07/02/2009;2009;1;1;feb.;feb. 2009;2;6;7;sáb.;Bill Yang;A4
2002;38720;Greece;Athens;1176;2006|1;1021;1000;11032;1299;900;504;0,56;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;03/01/2006;2006;1;1;ene.;ene. 2006;1;1;3;mar.;Bill Yang;A4
2002;40263;Bulgaria;Sofia;1110;2010|3;1350;5000;15018;5999;5090;2087;0,41001964636542;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/03/2010;2010;1;1;mar.;mar. 2010;3;13;26;vie.;Bill Yang;A4
2002;40846;Bulgaria;Sofia;1110;2011|10;1459;5000;16092;6999;5090;2087;0,41001964636542;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;30/10/2011;2011;2;4;oct.;oct. 2011;10;45;30;dom.;Bill Yang;A4
2002;39089;Russia;Moscow;1020;2007|1;1090;2000;12004;2199;1850;666;0,36;Barn Motors;103045;;;Europe & Africa;G8;Moscow;17 075 000;141.91;-0.47%;Rubl;Not known;Russian Federation;07/01/2007;2007;1;1;ene.;ene. 2007;1;2;7;dom.;Bill Yang;A4
2002;40842;Bulgaria;Sofia;1110;2011|10;1456;4000;16089;5999;5200;2562;0,49269230769231;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/10/2011;2011;2;4;oct.;oct. 2011;10;44;26;mié.;Bill Yang;A4
2002;39454;Slovenia;Ljubljana;1029;2008|1;1155;3000;13002;3299;3190;1499;0,46990595611285;"Captain Cook's Surfing School";;;;Europe & Africa;OECD;Ljubljana;20 251;2.05;-0.11%;Euro;Not known;Republic of Slovenia;07/01/2008;2008;1;1;ene.;ene. 2008;1;2;7;lun.;Bill Yang;A4
2002;38654;Greece;Athens;1176;2005|10;1018;1000;11029;1199;1000;490;0,49;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;29/10/2005;2005;2;4;oct.;oct. 2005;10;44;29;sáb.;Bill Yang;A4
2002;39963;Greece;Athens;1176;2009|5;1281;4000;14043;4599;3700;1813;0,49;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;30/05/2009;2009;1;2;may.;may. 2009;5;22;30;sáb.;Bill Yang;A4
2002;40812;Bulgaria;Sofia;1110;2011|9;1455;4000;16087;5999;5200;2562;0,49269230769231;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/09/2011;2011;2;3;sep.;sep. 2011;9;40;26;lun.;Bill Yang;A4
2002;39963;Greece;Athens;1176;2009|5;1281;4000;14041;4599;3700;1813;0,49;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;30/05/2009;2009;1;2;may.;may. 2009;5;22;30;sáb.;Bill Yang;A4
2002;40447;Bulgaria;Sofia;1110;2010|9;1381;4000;14115;4999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/09/2010;2010;2;3;sep.;sep. 2010;9;40;26;dom.;Bill Yang;A4
2002;40542;Ireland;Dublin;1137;2010|12;1396;4000;14119;4999;3500;2135;0,61;Shamrack Café;;;;Europe & Africa;OECD;Dublin;70 283;4.47;1.12%;Euro;-0.38%;;30/12/2010;2010;2;4;dic.;dic. 2010;12;53;30;jue.;Bill Yang;A4
2002;40263;Bulgaria;Sofia;1110;2010|3;1350;4000;14118;4999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/03/2010;2010;1;1;mar.;mar. 2010;3;13;26;vie.;Bill Yang;A4
2002;40477;Bulgaria;Sofia;1110;2010|10;1381;4000;14117;4999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/10/2010;2010;2;4;oct.;oct. 2010;10;44;26;mar.;Bill Yang;A4
2002;39237;Slovenia;Ljubljana;1029;2007|6;1115;2000;12037;2199;1850;666;0,36;"Captain Cook's Surfing School";;;;Europe & Africa;OECD;Ljubljana;20 251;2.05;-0.11%;Euro;Not known;Republic of Slovenia;04/06/2007;2007;1;2;jun.;jun. 2007;6;23;4;lun.;Bill Yang;A4
2002;40907;Ireland;Dublin;1137;2011|12;1474;4000;16119;5999;4500;2135;0,47444444444444;Shamrack Café;;;;Europe & Africa;OECD;Dublin;70 283;4.47;1.12%;Euro;-0.38%;;30/12/2011;2011;2;4;dic.;dic. 2011;12;53;30;vie.;Bill Yang;A4
2002;40331;Ireland;Dublin;1137;2010|6;1367;4000;14119;4999;3500;2135;0,61;Shamrack Café;;;;Europe & Africa;OECD;Dublin;70 283;4.47;1.12%;Euro;-0.38%;;02/06/2010;2010;1;2;jun.;jun. 2010;6;23;2;mié.;Bill Yang;A4
2002;39748;Greece;Athens;1176;2008|10;1227;3000;13105;3299;3100;1457;0,47;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;27/10/2008;2008;2;4;oct.;oct. 2008;10;44;27;lun.;Bill Yang;A4
2002;39963;Greece;Athens;1176;2009|5;1281;4000;14044;4599;3700;1813;0,49;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;30/05/2009;2009;1;2;may.;may. 2009;5;22;30;sáb.;Bill Yang;A4
2002;38874;Bulgaria;Sofia;1110;2006|6;1032;1000;11050;1299;1290;722;0,55968992248062;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;06/06/2006;2006;1;2;jun.;jun. 2006;6;23;6;mar.;Bill Yang;A4
2002;39954;Bulgaria;Sofia;1110;2009|5;1279;4000;14039;4599;3340;1637;0,49011976047904;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;21/05/2009;2009;1;2;may.;may. 2009;5;21;21;jue.;Bill Yang;A4
2002;39963;Greece;Athens;1176;2009|5;1281;4000;14042;4599;3700;1813;0,49;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;30/05/2009;2009;1;2;may.;may. 2009;5;22;30;sáb.;Bill Yang;A4
2002;39818;Japan;Tokyo;1106;2009|1;1245;3000;13131;3699;3100;1767;0,57;Mitsibushi Light Industries;;;;Asia & Australia;OECD;Tokyo;377 815;127.37;-0.19%;Yen;Not known;;05/01/2009;2009;1;1;ene.;ene. 2009;1;2;5;lun.;Bill Yang;A4
2002;39797;Russia;Moscow;1020;2008|12;1239;3000;13125;3299;2870;1349;0,47003484320557;Barn Motors;103045;;;Europe & Africa;G8;Moscow;17 075 000;141.91;-0.47%;Rubl;Not known;Russian Federation;15/12/2008;2008;2;4;dic.;dic. 2008;12;51;15;lun.;Bill Yang;A4
2002;40477;Bulgaria;Sofia;1110;2010|10;1381;4000;14116;4999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/10/2010;2010;2;4;oct.;oct. 2010;10;44;26;mar.;Bill Yang;A4
2002;37989;Greece;Athens;1176;2004|1;1001;1000;11001;1199;930;456;0,49032258064516;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;03/01/2004;2004;1;1;ene.;ene. 2004;1;1;3;sáb.;Bill Yang;A4
2002;40626;Bulgaria;Sofia;1110;2011|3;1422;5000;16032;6999;5090;2087;0,41001964636542;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;24/03/2011;2011;1;1;mar.;mar. 2011;3;13;24;jue.;Bill Yang;A4
2002;38393;Slovenia;Ljubljana;1029;2005|2;1009;1000;11013;1199;859;421;0,49010477299185;"Captain Cook's Surfing School";;;;Europe & Africa;OECD;Ljubljana;20 251;2.05;-0.11%;Euro;Not known;Republic of Slovenia;10/02/2005;2005;1;1;feb.;feb. 2005;2;7;10;jue.;Bill Yang;A4
2002;40845;Bulgaria;Sofia;1110;2011|10;1457;4000;16090;5999;5200;2562;0,49269230769231;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;29/10/2011;2011;2;4;oct.;oct. 2011;10;44;29;sáb.;Bill Yang;A4
2002;40626;Bulgaria;Sofia;1110;2011|3;1422;5000;16031;6999;5090;2087;0,41001964636542;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;24/03/2011;2011;1;1;mar.;mar. 2011;3;13;24;jue.;Bill Yang;A4
2002;40263;Bulgaria;Sofia;1110;2010|3;1350;4000;14115;4999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/03/2010;2010;1;1;mar.;mar. 2010;3;13;26;vie.;Bill Yang;A4
2002;40263;Bulgaria;Sofia;1110;2010|3;1350;4000;14116;4999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;26/03/2010;2010;1;1;mar.;mar. 2010;3;13;26;vie.;Bill Yang;A4
2002;40626;Bulgaria;Sofia;1110;2011|3;1422;4000;16028;5999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;24/03/2011;2011;1;1;mar.;mar. 2011;3;13;24;jue.;Bill Yang;A4
2002;40626;Bulgaria;Sofia;1110;2011|3;1422;4000;16030;5999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;24/03/2011;2011;1;1;mar.;mar. 2011;3;13;24;jue.;Bill Yang;A4
2002;39039;Slovenia;Ljubljana;1029;2006|11;1078;1000;11099;1299;1030;577;0,56019417475728;"Captain Cook's Surfing School";;;;Europe & Africa;OECD;Ljubljana;20 251;2.05;-0.11%;Euro;Not known;Republic of Slovenia;18/11/2006;2006;2;4;nov.;nov. 2006;11;46;18;sáb.;Bill Yang;A4
2002;40626;Bulgaria;Sofia;1110;2011|3;1422;4000;16027;5999;4200;2562;0,61;"Moe's Laundromat";;;;Europe & Africa;NATO;Sofia;110 912;7.53;-0.79%;Lev;Not known;Republic of Bulgaria;24/03/2011;2011;1;1;mar.;mar. 2011;3;13;24;jue.;Bill Yang;A4
2002;38023;Saudi Arabia;Riyadh;1160;2004|2;1001;1000;11001;1299;1250;700;0,56;The Asian Trade House;;;;Asia & Australia;OPEC;Riyadh;2 240 000;27.14;1.85%;Riyal;Not known;Kingdom of Saudi Arabia;06/02/2004;2004;1;1;feb.;feb. 2004;2;6;6;vie.;Bill Yang;A4
2002;38462;Greece;Athens;1176;2005|4;1011;1000;11018;1199;930;456;0,49032258064516;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;20/04/2005;2005;1;2;abr.;abr. 2005;4;17;20;mié.;Bill Yang;A4
2002;38462;Greece;Athens;1176;2005|4;1011;1000;11019;1199;930;456;0,49032258064516;Veliotti;;;;Europe & Africa;OECD;Athens;131 957;11.31;0.13%;Euro;5.15%;Hellenic Republic;20/04/2005;2005;1;2;abr.;abr. 2005;4;17;20;mié.;Bill Yang;A4
